Log started

FAIL | School: 0 | User: 1 | test325.sjava
FAIL | School: 0 | User: 1 | test326.sjava
FAIL | School: 0 | User: 1 | test327.sjava
PASS | School: 1 | User: 1 | test328.sjava
PASS | School: 1 | User: 1 | test401.sjava
PASS | School: 1 | User: 1 | test402.sjava
PASS | School: 1 | User: 1 | test403.sjava
FAIL | School: 0 | User: 1 | test404.sjava
FAIL | School: 0 | User: 1 | test405.sjava
PASS | School: 1 | User: 1 | test406.sjava
PASS | School: 1 | User: 1 | test407.sjava
PASS | School: 1 | User: 1 | test408.sjava
PASS | School: 1 | User: 1 | test409.sjava
FAIL | School: 0 | User: 1 | test410.sjava
PASS | School: 0 | User: 0 | test411.sjava
PASS | School: 0 | User: 0 | test412.sjava
PASS | School: 1 | User: 1 | test413.sjava
PASS | School: 0 | User: 0 | test414.sjava
PASS | School: 1 | User: 1 | test415.sjava
PASS | School: 1 | User: 1 | test416.sjava
PASS | School: 1 | User: 1 | test417.sjava
FAIL | School: 0 | User: 1 | test418.sjava
PASS | School: 1 | User: 1 | test420.sjava
PASS | School: 1 | User: 1 | test421.sjava
PASS | School: 1 | User: 1 | test422.sjava
PASS | School: 1 | User: 1 | test423.sjava
FAIL | School: 0 | User: 1 | test425.sjava
FAIL | School: 0 | User: 1 | test427.sjava
FAIL | School: 0 | User: 1 | test428.sjava
PASS | School: 1 | User: 1 | test429.sjava
PASS | School: 1 | User: 1 | test430.sjava
PASS | School: 1 | User: 1 | test431.sjava
FAIL | School: 0 | User: 1 | test432.sjava
FAIL | School: 0 | User: 1 | test433.sjava
PASS | School: 1 | User: 1 | test434.sjava
PASS | School: 1 | User: 1 | test435.sjava
PASS | School: 1 | User: 1 | test436.sjava
FAIL | School: 0 | User: 1 | test437.sjava
FAIL | School: 0 | User: 1 | test438.sjava
PASS | School: 1 | User: 1 | test439.sjava
PASS | School: 1 | User: 1 | test440.sjava
PASS | School: 1 | User: 1 | test441.sjava
PASS | School: 1 | User: 1 | test442.sjava
FAIL | School: 0 | User: 1 | test451.sjava
PASS | School: 1 | User: 1 | test452.sjava
PASS | School: 1 | User: 1 | test453.sjava
PASS | School: 1 | User: 1 | test454.sjava
PASS | School: 1 | User: 1 | test455.sjava
PASS | School: 1 | User: 1 | test456.sjava
PASS | School: 1 | User: 1 | test457.sjava
PASS | School: 1 | User: 1 | test458.sjava
PASS | School: 1 | User: 1 | test459.sjava
PASS | School: 1 | User: 1 | test460.sjava
PASS | School: 0 | User: 0 | test461.sjava
PASS | School: 0 | User: 0 | test462.sjava
PASS | School: 1 | User: 1 | test463.sjava
PASS | School: 1 | User: 1 | test464.sjava
FAIL | School: 0 | User: 1 | test465.sjava
FAIL | School: 0 | User: 1 | test466.sjava
